reason	woo_id	wa_code	source_sku	name
not_imported	40061		SG199	Generic Men Sunglasses SG199
not_imported	40062		SG200	Generic Men Sunglasses SG200
not_imported	40063		SG201	Generic Men Sunglasses SG201
not_imported	40064		SG202	Generic Men Sunglasses SG202
not_imported	40065		SG203	Generic Women Sunglasses SG203
not_imported	40066		SG204	Generic Women Sunglasses SG204
not_imported	40067		SG205	Generic Women Sunglasses SG205
not_imported	40068		SG206	Generic Women Sunglasses SG206
not_imported	40069		SG207	Generic Women Sunglasses SG207
not_imported	40070		SG208	Generic Women Sunglasses SG208
not_imported	40071		SG209	Generic Women Sunglasses SG209
not_imported	40072		SG210	Generic Women Sunglasses SG210
not_imported	40200		AR11288	Emporio Armani Watch For Men AR11288
not_imported	40947		JC1L046M0295	Watch for Women by Just Cavalli, Model JC1L046M0295, Analog with Silve
not_imported	40948		JC1L195M0395	Just Cavalli Stainless Steel Analog Women's Watch JC1L195M0395
not_imported	41529		MK4809	Michael Kors Women's Watch MK4809
not_imported	41652		1792087	Tommy Hilfiger Watch For  Men 1792087
not_imported	41653		1792089	Tommy Hilfiger Watch For Men 1792089
not_imported	41654		1792088	Tommy Hilfiger  Watch For Men 1792088
not_imported	41657		1710610	Tommy Hilfiger  Watch For Men 1710610
not_imported	41658		1710609	Tommy Hilfiger  Watch For Men 1710609
not_imported	41659		1710608	Tommy Hilfiger  Watch For Men 1710608
not_imported	41820		1792077	Tommy Hilfiger Watch For  Men 1792077
not_imported	41821		1791391	Tommy Hilfiger Men's 'SPORT' Quartz Stainless Steel and Leather Casual
not_imported	41921		1710585	Tommy Hilfiger Watch For Men  1710585
not_imported	41922		1710605	Tommy Hilfiger  Watch For Men  1710605
not_imported	41940		1791722 -T	Tommy Hilfiger Watch For Men  1791722
not_imported	41941		1791898 - T	Tommy Hilfiger  Watch For Men- 1791898
not_imported	42705		PU70-1	212 VIP Men by Carolina Herrera Eau de Parfum for Men, 100ml, Limited 
not_imported	43814		MK 4724	Michael Kors Watch For Women MK4724
not_imported	43821		MK 4725	Michael Kors Watch For Women MK4725
not_imported	43878		MK4744	Michael Kors Watch for Women MK4744
not_imported	43882		MK4742	Michael Kors Watch for Women MK4742
collision	44192	BF-44192	Ar 5988	EMPORIO ARMANI Men's Water Resistant Chronograph Watch AR5988 Copy
not_imported	44313		AR11196-1	Emporio Armani Watch For Women AR11196 (Copy)
not_imported	44462		AR11562	Emporio Armani Watch For Men AR11562
too_long	47036	BF-47036	هذه النظارات الشمسية مصنوعة من مواد عالية الجودة، وهي متينة بما يكفي ل	Generic men sunglasses  SG819
not_imported	47408		MF0492.1	Mini Focus Quartz Watch for Men Stainless Steel and Silver Blue MF0492
not_imported	47507		1792106	Tommy Hilfiger Watch For Men   1792106
not_imported	47522		1792104	Tommy Hilfiger Watch For Men 1792104
not_imported	47591		1792110	Tommy Hilfiger Watch For Men   1792110
not_imported	48736		1792002	Tommy Hilfiger  Watch For Men1792002
not_imported	51202		Casio007	Casio Watch for Men-Casio007
not_imported	51205		Casio008	Casio Watch for Men-Casio008
not_imported	51584		1792116	Tommy Hilfiger Watch  For Men- 1792116
not_imported	51592		1792117	Tommy Hilfiger Watch For Men - 1792117
not_imported	51607		1792119	Tommy Hilfiger Watch For Men  - 1792119
not_imported	51889		1792120	Tommy Hilfiger Watch For Men 1792120
not_imported	51903		1792121	Tommy Hilfiger Watch For Men 1792121
not_imported	51910		1792122	Tommy Hilfiger  Watch For Men 1792122
not_imported	52076		R8853139002	Maserati Watch For Men R8873600002
not_imported	52905		Guess001	Guess Wallet for Women
not_imported	56859		1502647-1	Original Hugo Boss Watch For men With black dial   1502647 (Copy)
not_imported	57560		th-set-004-1	Tommy Hilfiger Set is a Men's Wallet and a Classic Black Belt
not_imported	57843		1792157	Tommy HIlfiger Watch For Men -1792187
not_imported	57849		1792188	Tommy HIlfiger Watch For Men -1792188
not_imported	57855		1792163	Tommy HIlfiger Watch For Men -1792166
not_imported	57900		AP001	AP WATCH FOR MEN - AP001
not_imported	57904		AP002	AP WATCH FOR MEN - AP002
not_imported	57908		AP003	AP WATCH FOR MEN - AP003
not_imported	57911		AP004	AP WATCH FOR MEN - AP004
not_imported	57914		AP005-1	AP WATCH FOR MEN - AP005
not_imported	57917		AP006-1-1	AP WATCH FOR MEN - AP006
not_imported	57920		AP007	AP WATCH FOR MEN - AP007
not_imported	57924		AP008	AP WATCH FOR MEN - AP008
not_imported	57927		AP009	AP WATCH FOR MEN - AP009
not_imported	57947		AP0.017	AP WATCH FOR MEN - AP0.017
not_imported	57951		AP0.019	AP WATCH FOR MEN - AP0.019
not_imported	57953		AP0.020	AP WATCH FOR MEN - AP0.020
not_imported	57955		AP0.021	AP WATCH FOR MEN - AP0.021
not_imported	58066		MK7328	Michael Kors Watch for men MK7328
not_imported	58078		MK6141-1	Michael Kors Watch for Women
not_imported	58139		]MK4871	Michael Kors Watch for Women MK4871
not_imported	58149		1710645	Tommy HIlfiger Watch For Men 1710645
not_imported	58154		1710647	Tommy HIlfiger Watch For Men - 1710647
not_imported	58157		1710648	Tommy HIlfiger Watch For Men 1710648
not_imported	58205		GW0202G3-1	GUESS Men's Watch GW0499G6
not_imported	58273		HWQB83 77060-1	BORSETTA GUESS HWQB83 77060 BROWN LOGO (Copy)
not_imported	58352		BAG0101-1	GUESS Shoulder bag for women
not_imported	59008		1792168	TOMMY HILFIGERMen's Watch 1792168
not_imported	59012		1792169	TOMMY HILFIGERMen's Watch 1792169
not_imported	59098		ES5400-1	FOSSILWomen's Watch ES5400 (Copy)
not_imported	59123		1792185	Tommy HIlfiger Watch For Men 1792185
not_imported	59127		1792115	Tommy HIlfiger Watch For Men 1792115
not_imported	59135		1710620	Tommy HIlfiger Watch For Men 1710620
